Stage I,Stage II,Stage III,Stage IV
0.7066096053257251,0.06863211285465208,0.13995878903154224,0.08479949278808052
0.44737756165335185,0.33622785689475515,0.13963181660298715,0.07676276484890587
0.17672749961004525,0.16861644049290284,0.2066760255810326,0.44798003431601935
0.23618976882369325,0.25361309689598616,0.3198403119487513,0.19035682233156934
0.40778145277349964,0.4350998560860454,0.10674880702906052,0.05036988411139445
0.5057242409158785,0.14285714285714285,0.20806371329019413,0.14335490293678446
0.21053330970942594,0.2779500354358611,0.31462615166548547,0.1968905031892275
0.5475853858173971,0.08319071359476152,0.20916734876106854,0.16005655182677284
0.12737642585551331,0.34790874524714827,0.1958174904942966,0.3288973384030418
0.4937471749284315,0.08211541359047762,0.2504143438300437,0.17372306765104717
0.27215021699979336,0.0829027781878303,0.20377313926367688,0.4411738655486995
0.654115408142459,0.27044110650445186,0.05423774892951811,0.02120573642357099
0.17662082514734775,0.1363457760314342,0.21669941060903733,0.47033398821218075
0.047797293406276996,0.25741433918802187,0.24316153181687303,0.4516268355888281
0.07869362363919129,0.2321410057024365,0.23203732503888025,0.45712804561949194
0.2974022821073076,0.07016266084000972,0.3355183296916727,0.29691672736100994
0.14080510728852633,0.14115978010285513,0.1707749600993084,0.5472601525093101
0.3861158558444571,0.15058729254971426,0.29221231100145506,0.1710845406043736
0.2956762863304919,0.19718599157851494,0.33192975249050016,0.17520796960049295
0.15820674323823639,0.1670989255279733,0.20340866987773248,0.4712856613560578
0.47220653489310205,0.200161355385236,0.19895118999596612,0.12868091972569584
0.7000410340582683,0.07413486527150868,0.13828477636438244,0.08753932430584051
0.45242283703822167,0.3321605629297937,0.1301775147928994,0.08523908523908524
0.1791755419120411,0.1680240571356973,0.21488535271269266,0.43791504823956895
0.23889792344258193,0.2494996247185389,0.31520515386539905,0.1963972979734801
0.4237357064255299,0.4262714702645806,0.10210037797234582,0.04789244533754366
0.4694364851957975,0.15950334288443171,0.21298949379178606,0.15807067812798473
0.21417791193181818,0.27445845170454547,0.3073508522727273,0.2040127840909091
0.5738278516445067,0.07732680195941218,0.2020293911826452,0.14681595521343596
0.11561561561561562,0.3400900900900901,0.24549549549549549,0.2987987987987988
0.5175015460729746,0.07260358688930117,0.2504638218923933,0.15943104514533085
0.30811599790697036,0.08630993362892787,0.1882349701192476,0.41733909834485416
0.6601630190616777,0.26513060779154096,0.05282074321288749,0.021885629933893844
0.181068653876645,0.13667353733946408,0.215633423180593,0.46662438560329794
0.05696636925188744,0.24008236101578587,0.24927934111187372,0.45367192862045297
0.08864789573176798,0.2186847079892548,0.23500149238881704,0.4576659038901602
0.3447091158955566,0.07306459001374256,0.3163078332569858,0.26591846083371506
0.13865987108379554,0.13656123519712188,0.1711887273272373,0.5535901663918453
0.4070474577575921,0.1408336861552673,0.2838420384126862,0.1682768176744544
0.2978408128704488,0.18998729889923793,0.33393310753598643,0.17823878069432683
0.17208966015907448,0.16232827187274043,0.19739696312364424,0.46818510484454084
